Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2017,28916,CTN Bike Events,Bike MS: Stamford 2017,11/15/2016 17:34,6/11/2017 17:49,154000,144,0,4661.5,83430,68002,16,15,5,0,1455,0,15428,72,13325,72,70250,2035,205,145,845 Canal St.,Stamford,CT,6902,CTN 2017 Bike MS: Stamford,27507
2014,23432,CTN Bike Events,"Connecticut, Windsor - Bike MS 2014",10/23/2013 13:01,6/1/2014 12:39,250000,472,0,8905,178870.45,124886,32,35,10,22,4612,15,53984.45,287,47708.35,185,131747.1,8230,801.5,560,5 Waterside Crossing,Windsor,CT,6095,"Connecticut, Windsor - Bike MS 2014",21046
2015,25949,CTN Bike Events,"Connecticut, Windsor - Bike MS Praxair Ride 2015",12/17/2014 12:57,6/7/2015 12:58,215639,387,2,10230,196839.52,139507.3,39,41,6,30,7039,60,57332.22,207,46758.51,182,150231.01,14343.52,1274.25,150,5 Waterside Crossing,Windsor,CT,6095,"Connecticut, Windsor - Bike MS Praxair Ride 2015",23432
2016,27498,CTN Bike Events,Bike MS: Praxair Off The Chain Windsor Ride 2016,10/29/2015 9:49,6/5/2016 14:05,218587,413,7,14115,210807.1,159642.1,38,38,7,31,6633,98,51165,171,72241,249,141586.1,5509.24,1105.56,2875,5 Waterside Crossing,Windsor,CT,6095,CTN 2016 Bike MS: Windsor,25949
2017,28918,CTN Bike Events,Bike MS: Windsor 2017,11/16/2016 11:31,6/4/2017 11:38,234500,358,0,12716.5,165903.77,129961.86,39,41,6,14,4996,38,35941.91,143,35779.5,215,132312.77,4841,296,2063.5, 5 Waterside Crossing, Windsor ,CT,6095,CTN 2017 Bike MS: Windsor,27498
2013,21726,CTN Bike Events,"Connecticut, Hartford - Bike MS 2013: Cardio Express Ride, presented by Cashman + Katz",3/26/2013 11:30,9/8/2013 12:32,110000,260,0,7590,79423.3,33548,17,19,10,2,2151,10,45875.3,119,24056,141,60173.3,1540,25,4806,1 East Service Road,Hartford,CT,6120,"Connecticut, Hartford - Bike MS 2013",19015
2016,27507,CTN Bike Events,Bike MS: Praxair Off The Chain Norwalk Ride 2016,10/29/2015 12:21,6/12/2016 14:20,175000,217,3,6325,147371.25,99573,20,20,7,16,6540,35,47798.25,102,19550,118,129343.25,6885,1552.5,1225,"300 Grumman Ave, Norwalk, CT 06851",Norwalk,CT,6880,CTN 2016 Bike MS: Norwalk,25948
2015,25948,CTN Bike Events,"Connecticut, Westport - Bike MS Praxair Ride 2015",12/17/2014 11:05,6/14/2015 9:02,201746,255,4,7680,145749.19,109392.55,21,21,8,17,1868,184,36356.64,176,20988.55,83,124760.64,7650,1050,0,Sherwood Island Connector,Westport,CT,6880,"Connecticut, Westport - Bike MS Praxair Ride 2015",23495
2014,24022,CTN Bike Events,Bike MS: Cardio Express Ride 2014,2/18/2014 13:35,9/13/2014 13:49,120000,267,0,7660,72294.88,44050.33,22,22,8,16,1702,35,28244.55,125,18865.05,142,84818.83,7405,6114,20099,20 Leibert Road,Hartford,CT,6120,"Connecticut, Hartford - Bike MS: Cardio Express Ride 2014",21726
2014,21752,CTN Bike Events,CTN Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CTN Bike MS 2014 OLD,0
2013,20347,CTN Bike Events,CTN Bike MS 2013,10/2/2012 11:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,CT,,CTN Bike MS 2013,0
2014,21893,CTN Bike Events,CTN Bike MS 2014,4/10/2013 12:14,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CTN Bike MS 2014,0
2014,23830,CTN Bike Events,CTN - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:36,10/6/2014 10:39,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,CTN - 2014 MS Great 8 - Beach to Beach Tour,21412
2013,21412,CTN Bike Events,CTN - 2013 MS Great 8 Tour Du Lac,1/18/2013 11:18,8/4/2013 16:08,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,CTN - 2013 MS Great 8 Tour Du Lac,0
2014,23495,CTN Bike Events,"Connecticut, Westport - Bike MS 2014",10/30/2013 8:47,6/8/2014 9:37,285000,274,0,4960,205321.2,124002,23,24,8,9,2403,12,81319.2,160,56929.5,114,148886.7,22193.2,179.5,495,Sherwood Island Connector,Westport,CT,6880,"Connecticut, Westport - Bike MS 2014",21047
2013,21046,CTN Bike Events,"Connecticut, Windsor - Bike MS 2013: Red Thread+Steelcase Ride, presented by Louis Dreyfus Commodities ",11/19/2012 11:34,6/2/2013 14:54,252482,548,0,9450,229765.45,156460.52,38,41,10,12,4946,8,73304.93,292,74480,256,155365.45,10547.88,10,80,5 Waterside Crossing,Windsor,CT,6095,"Connecticut, Windsor - Bike MS 2013",18594
2013,21047,CTN Bike Events,"Connecticut, Westport - Bike MS 2013: Red Thread+Steelcase Ride, presented by Louis Dreyfus Commodities ",11/19/2012 11:34,6/9/2013 10:41,241189,358,0,6510,264195.37,161816.8,28,29,9,3,2759,5,102378.57,196,57342,162,222162.37,41602,65,15309,Sherwood Island Connector,Westport,CT,6880,"Connecticut, Westport - Bike MS 2013",18602
2013,19164,DCW Bike Events,2013 Bike MS: Ride the Riverside,5/4/2012 11:24,6/8/2013 12:25,1000000,924,2,24515,677556.52,571909.51,77,81,7,14,26415,103,105647.01,397,101970.02,529,578314,5798,391,50,,Washington,DC,20036,DCW 2013 Bike MS,17483
2014,21886,DCW Bike Events,DCW Bike MS 2014,4/10/2013 10:52,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,DCW Bike MS 2014 OLD,0
2014,22016,DCW Bike Events,2014 Bike MS: Ride the Riverside,4/18/2013 17:13,6/7/2014 11:27,897500,692,0,13510,562588.87,479713.04,85,90,5,16,16490,64,82875.83,350,84208.45,342,481700.42,5330.25,2837.83,2315,,Ft. Washington,MD,20745,DCW 2014 Bike MS: Ride the Riverside,19164
2015,25835,DCW Bike Events,Bike MS: Ride the Vine 2015,11/17/2014 10:24,6/13/2015 14:59,615000,590,16,13800,524915.1,452977.42,65,69,7,0,15498,0,71937.68,331,90182.07,275,441893.03,15449,6810,6945,14727 Mountain Road,Purcellville,VA,20132,DCW 2015 Bike MS: Ride the Vine,22016
2014,21754,DED Bike Events,DED Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,DED Bike MS 2014 OLD,0
2013,20349,DED Bike Events,DED Bike MS 2013,10/2/2012 11:15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DE,,DED Bike MS 2013,0
2014,23771,DED Bike Events,Bike to the Bay 2014,12/4/2013 12:36,9/20/2014 12:09,1000000,1139,7,36010,667110.31,416155.57,121,125,7,2,15731,0,250954.74,604,112982.9,542,561182.41,15849.38,2755,6305,100 CAMPUS DR,Dover,DE,19904,DED Bike MS: Bike to the Bay 2014,0
2013,21206,DED Bike Events,"Delaware, Bear - Bike MS: Crankin' for a Cure 2013",12/10/2012 12:30,6/15/2013 12:07,20000,253,0,11730,7424,5332,17,18,6,0,228,0,2092,33,2375,220,5199,295,297,150,3006 Summit Harbour Place  ,Bear,DE,19701,DED Bike MS: Crankin for a Cure 2013,18090
2013,20707,DED Bike Events,"Delaware, Dover - Bike MS: Bike to the Bay 2013",10/24/2012 12:35,9/21/2013 12:08,1000000,1353,19,42090,749050.29,467402.39,130,136,8,0,22704,0,281647.9,630,121917.49,742,632317.08,14557.5,3477.54,4434.28,100 Campus Drive,Dover,DE,19904,DED Bike MS: Bike to the Bay 2013,17924
2015,25198,DED Bike Events,Bike MS: Bike to the Bay 2015,9/18/2014 14:47,9/26/2015 12:30,1000000,1370,27,57245,750578.16,534015.58,149,156,6,0,21077,0,216562.58,657,140256.57,740,615623.59,19968.85,348,5027,,Dover,DE,19904,DED Bike MS: Bike to the Bay 2015,23771
2014,23770,DED Bike Events,Crankin' For A Cure 2014,12/4/2013 12:35,6/7/2014 12:08,30000,223,0,10460,5842,4521,14,15,5,0,58,0,1321,25,1045,198,4797,130,421,0,3006 Summit Harbour Place,Bear,DE,19701,DED Bike MS: Crankin for a Cure 2014,0
2014,21895,DED Bike Events,DED Bike MS 2014,4/10/2013 12:15,9/20/2014 13:24,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,DED Bike MS 2014,0
2014,23784,DED Bike Events,"Delaware, Dover-Bike MS 2014",12/5/2013 14:22,9/20/2014 12:06,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Delaware, Dover-Bike MS 2014",0
2013,20669,DED Bike Events,Nicole Bike Test,10/23/2012 7:31,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,None,,Nicole Bike Test,0
2013,21413,DED Bike Events,DED - 2013 MS Great 8 Tour Du Lac,1/18/2013 11:21,8/4/2013 16:08,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,DED - 2013 MS Great 8 Tour Du Lac,0
2014,23831,DED Bike Events,DED - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:37,10/6/2014 10:39,200000,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,None,,DED - 2014 MS Great 8 - Beach to Beach Tour,21413
2017,28207,FLC Bike Events,Bike MS: The Citrus Tour 2017,8/3/2016 16:24,5/6/2017 16:15,600000,942,20,25309,555670.42,428340.16,73,72,10,0,27496,0,127330.26,441,95431.68,521,487060,21795.21,19240,24876.26,1400 Broadway Blvd SE ,Polk City,FL,33868,FLC 2017 Bike MS: Mid Florida,27190
2013,19463,FLC Bike Events,Bike MS: The Citrus Tour 2013 ,7/5/2012 9:54,4/20/2013 14:18,915000,936,162,31566.25,732241.31,499511.94,80,101,8,10,57749,34,232729.37,443,118620.29,655,619538.14,22228.14,8961.2,4308,1151 Tower Blvd.,Lake Wales,FL,33859,FLC 2013 Bike MS,17564
2014,21896,FLC Bike Events,Bike MS: The Citrus Tour 2014,4/10/2013 12:15,4/12/2014 16:50,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Lake Wales,FL,33859,FLC Bike MS 2014,20350
2013,20350,FLC Bike Events,FLC Bike MS 2013,10/2/2012 11:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FL,,FLC Bike MS 2013,0
2016,27190,FLC Bike Events,Bike MS: The Citrus Tour 2016 Presented by Accredo,10/13/2015 13:23,5/21/2016 15:45,850000,1057,10,21442.5,519259.87,369991.65,91,97,9,17,27157,102,149268.22,427,81221.85,640,448856.77,11386,13295.01,9345.75,,Orlando,FL,33868,FLC 2016 Bike MS: The Citrus Tour,24778
2015,24778,FLC Bike Events,Bike MS: The Citrus Tour 2015,7/23/2014 10:53,5/2/2015 11:45,850000,1099,125,36937.5,677159.38,466633.8,100,110,8,12,45199,64,210525.58,502,108067.89,722,581901.49,29806.5,14502.52,11875,8101 World Center Drive,Orlando,FL,32821,FLC Bike MS 2015,22186
2014,22186,FLC Bike Events,Bike MS: The Citrus Tour 2014,5/21/2013 9:52,4/12/2014 12:41,805000,1031,128,34015,768752.88,518596.47,97,109,8,14,42479,70,250156.41,537,109441.67,622,663441.21,27483.62,27156.25,3030,,Lake Wales,FL,33859,"Florida, Orlando- Bike MS 2014",19463
2014,21755,FLC Bike Events,FLC Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,FLC Bike MS 2014 OLD,0
2013,20286,FLN Bike Events,"Florida, St. Augustine - Bike MS: PGA TOUR Cycle to the Shore 2013",9/25/2012 15:00,9/28/2013 13:39,1550000,1555,201,36933.97,858371.23,524999.02,98,107,12,12,48542,126,333372.21,779,163421.93,977,705452.38,8802.4,6356.6,7498.08,,St. Augustine ,FL,32084,"Florida, St. Augustine - Bike MS: PGA TOUR Cycle to the Shore 2013",17954
2017,28136,FLN Bike Events,FLN 2016 Bike MS: PGA TOUR Cycle to the Shore SC 6.22.16,6/22/2016 14:52,10/22/2016 14:46,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5430 Palm Valley Road ,Ponte Vedra Beach ,FL,32082,FLN 2016 Bike MS: PGA TOUR Cycle to the Shore SC 6.22.16,0
2014,21756,FLN Bike Events,FLN Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,FLN Bike MS 2014 OLD,0
2017,27711,FLN Bike Events,Bike MS: PGA TOUR Cycle to the Shore 2016,11/10/2015 14:40,10/22/2016 15:50,1500000,1182,165,40167,893641.38,554667.65,103,106,9,0,56737,0,338973.73,730,178454.04,617,741722.48,19338.91,14235.29,22761,5430 Palm Valley Road ,Ponte Vedra Beach ,FL,32082,FLN 2016 Bike MS: PGA TOUR Cycle to the Shore,25681
2014,22906,FLN Bike Events,"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",9/19/2013 13:59,9/20/2014 15:53,1500000,1455,187,62200.5,948626.55,607908.54,100,107,12,9,50028,87,340718.01,827,155300.59,815,805895.96,7067.4,3165.5,10410,,St. Augustine,FL,32084,"Florida, Ponte Vedra - Bike MS: PGA TOUR Cycle to the Shore 2014",20286
2016,25681,FLN Bike Events,Bike MS: PGA TOUR Cycle to the Shore 2015,11/4/2014 9:48,10/10/2015 15:14,1500000,1394,204,52375,988568.46,602755.09,110,116,10,12,58787,80,385813.37,794,283530.13,804,828416.13,21604.28,110902,119051.8,5430 Palm Valley Road,Ponte Vedra Beach ,FL,32082,FLN 2015 Bike MS: PGA TOUR Cycle to the Shore,22906
2014,21897,FLN Bike Events,FLN Bike MS 2014,4/10/2013 12:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,FLN Bike MS 2014,0
2013,20351,FLN Bike Events,FLN Bike MS 2013,10/2/2012 11:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FL,,FLN Bike MS 2013,0
2014,22411,FLS Bike Events,Bike MS: Breakaway to Key Largo 2014,7/11/2013 9:41,3/1/2014 8:43,1100000,1438,13,23760,794505.67,595945.53,96,109,11,0,26906,1,198560.14,638,117446.53,813,731486.76,29410,4589.09,0,,Miami,FL,33199,FLS 2014 Bike MS: Breakaway to Key Largo,19654
2016,26536,FLS Bike Events,Bike MS: Breakaway to Key Largo 2016,6/9/2015 13:48,3/5/2016 12:49,1050000,1566,23,24740,1008550.36,697676.98,119,137,10,0,71899,1,310873.38,587,170237.3,1002,870113.36,16954.82,19430.16,20874,11310 SW 17th Street,Miami,FL,33199,FLS 2016 Bike MS: Breakaway to Key Largo,24696
2017,28099,FLS Bike Events,Bike MS: Breakaway to Key Largo 2017,5/30/2016 22:24,3/4/2017 10:24,1100000,1198,17,25235,928361.49,713625.38,88,102,11,0,51935,0,214736.11,606,155647.06,609,808413.93,8211,21385,33122,11310 SW 17th Street,Miami,FL,33199,FLS 2017 Bike MS: Breakaway to Key Largo,26536
2015,24696,FLS Bike Events,Bike MS: Breakaway to Key Largo 2015,7/1/2014 9:57,3/7/2015 8:52,930000,1554,24,31210,960371.55,686978.93,119,142,10,0,47885,1,273392.62,676,151983.14,902,830744.76,24129.06,18564,16871,11310 SW 17th Street,Miami,FL,33199,FLS 2015 Bike MS: Breakaway to Key Largo,22411
2013,20352,FLS Bike Events,FLS Bike MS 2013,10/2/2012 11:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FL,,FLS Bike MS 2013,0
2014,21898,FLS Bike Events,FLS Bike MS 2014,4/10/2013 12:15,,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Miami,FL,33199,FLS Bike MS 2014,0
2014,21757,FLS Bike Events,FLS Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,FLS Bike MS 2014 OLD,0
2013,19654,FLS Bike Events,Bike MS : Zimmerman Breakaway to Key Largo Presented by Mack Cycle and Fitness,7/25/2012 10:24,4/20/2013 8:43,2000000,1339,33,19620,794119.07,506056.67,92,98,12,0,37956,0,288062.4,559,114681.32,813,679437.75,27907.67,16044,0,,Miami,FL,33174,FLS 2013 Bike MS: Breakaway to Key Largo,17642
2013,19774,FLS Bike Events,2013 MS Bike Ride : Volunteer Registration,8/3/2012 9:56,4/20/2013 13:03,0,461,2,0,1275,945,15,16,8,1,13,2,330,1,100,462,1175,0,0,0,,Miami,FL,33146,FLS Bike Volunteer 2013,17663
2014,21758,GAA Bike Events,GAA Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,GAA Bike MS 2014 OLD,0
2014,23662,GAA Bike Events,Bike MS: Cox Atlanta Ride 2014,11/19/2013 8:40,9/20/2014 9:29,1000000,1065,25,15618.26,763883.68,537748.15,60,71,15,3,47993,67,226135.53,473,120105.22,617,647287,14832.75,52438.5,2655,17800 U.S. Hwy 27,Pine Mountain,GA,31822,GAA- Bike MS 2014,20576
2015,24767,GAA Bike Events,Bike MS: Atlanta Ride 2015,7/22/2014 9:50,9/19/2015 10:03,1000000,795,15,12033.1,556578.6,414450.9,58,69,11,7,39492,84,142127.7,320,133650.37,490,479752.23,7302.7,54099,54094,17800 U.S. Hwy 27,Pine Mountain,GA,31822,GAA Bike MS 2015,23662
2017,27759,GAA Bike Events,Bike MS: COX Atlanta Peach Ride 2016,11/25/2015 10:03,10/1/2016 11:23,550000,522,4,12625.5,456663.73,351213.22,47,54,10,0,31507,0,105450.51,342,142609.5,184,377580.23,13881,65643.83,63526,,Newnan,GA,30263,GAA Bike MS 2016,24767
2013,20576,GAA Bike Events,Bike MS Cox Atlanta Ride 2013,10/15/2012 14:34,9/14/2013 8:45,1107000,1385,24,24802.5,791428.59,552192.74,66,73,18,8,50058,84,239235.85,633,129339.97,776,668852.74,14663.71,60260.5,5774.12,Hwy 27,Pine Mountain,GA,31822,"Atlanta, Georgia - Bike MS 2013",18479
2014,21759,HIH Bike Events,HIH Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,HIH Bike MS 2014 OLD,0
2014,21900,HIH Bike Events,"Hawaii, Kona - Bike MS 2014",4/10/2013 12:15,8/2/2014 11:56,52500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HI,,HIH Bike MS 2014,0
2015,26038,HIH Bike Events,"Waikoloa, Hawaii- Bike MS : Go Big or Go Home Ride",1/16/2015 12:29,8/1/2015 16:25,75000,95,4,625,53519.31,46769.01,9,11,7,2,1526,7,6750.3,44,9136.3,55,44923.01,1705,253,540,"69-425 Waikoloa Beach Dr, Waikoloa Village,",Waikoloa,HI,96738,CAS Bike MS 2015 - Hawaii,23962
2013,21136,HIH Bike Events,2013 Bike MS Hawaii,11/30/2012 12:04,8/3/2013 15:57,65000,138,0,1320,52632.04,39041.05,14,14,6,0,2452,3,13590.99,50,12188,88,45106.04,1595,1577,4662,,Waikoloa,HI,96817,2013 Bike MS Hawaii,18934
2014,23962,HIH Bike Events,"Hawaii, Kona - Bike MS 2014",1/29/2014 12:55,8/2/2014 12:23,60000,102,0,1000,63236.17,49306.17,12,14,7,1,3715,1,13930,40,8151.73,62,56045.44,1375,3551,70,,,HI,,HIH Bike MS - 2014,0
2013,20354,HIH Bike Events,2013  Bike MS: go!Big or Go Home Ride,10/2/2012 11:16,8/3/2013 18:01,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HI,,Bike MS 2013,18934
2015,25280,ILD Bike Events,Bike MS: Tour de Farms 2015,9/25/2014 10:02,6/27/2015 7:44,1600000,2007,209,37872,1435650.08,1093114.24,180,215,9,27,48361,152,342535.84,866,215767.24,1350,1259195.84,38209.39,22885.88,37463,1525 W Lincoln Hwy,DeKalb,IL,60115,ILD 2015 Bike MS: Tour de Farms,22978
2014,22978,ILD Bike Events,ILD Bike MS: Tour de Farms 2014,9/24/2013 12:28,6/21/2014 13:18,1700000,2122,87,36248,1432003.02,1038205.65,165,197,10,17,52767,112,393797.37,880,234359.64,1329,1258880.13,34573.4,52698.85,55961.75,1525 W. Lincoln Highway,DeKalb,IL,60115,ILD Bike MS: Tour de Farms 2014,20718
2014,22966,ILD Bike Events,ILD BIKE TEST 2014,9/22/2013 16:45,6/21/2014 16:39,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525 W. Lincoln Highway,DeKalb,IL,60115,ILD BIKE TEST 2014,20718
2013,20718,ILD Bike Events,ILD Bike MS: Tour de Farms 2013,10/24/2012 13:57,6/22/2013 11:50,1680000,2511,52,39407,1548427.51,1041391.69,195,219,10,32,68685,150,507035.82,1506,244252.27,1057,1396572.99,40839.32,53300,92247.75,1425 West Lincoln Highway,Dekalb,IL,60115,ILD Bike MS: Tour de Farms 2013,18012
2016,27043,ILD Bike Events,Bike MS: Tour de Farms 2016,9/9/2015 8:55,6/25/2016 11:24,1600000,1759,60,54184,1400482.1,1126683.19,155,181,9,56,58419,252,273798.91,915,220882.16,904,1213493.44,28192.51,27865,26090,1525 W Lincoln Hwy,DeKalb ,IL,60115,ILD 2016 Bike MS: Tour de Farms,25280
2017,28197,ILD Bike Events,Bike MS: Tour de Farms 2017,7/28/2016 16:19,6/10/2017 11:22,1600000,1466,26,40795,1187045.52,867028.95,137,150,8,0,39506,0,320016.57,774,201123.99,718,1016728.53,35839.45,24375.83,27385,1525 W. Lincoln Hwy. ,DeKalb,IL,60115,ILD 2017 Bike MS: Tour de Farms,27043
2014,23939,ILD Bike Events,ILD - 2014 MS Great 8 - Beach to Beach Tour,1/21/2014 8:26,10/6/2014 10:39,200000,1,0,0,10836.83,6503,1,1,1,0,0,1,4333.83,0,0,1,11006.83,0,0,170,,,None,,ILD - 2014 MS Great 8 - Beach to Beach Tour,0
2014,21760,ILD Bike Events,ILD Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ILD Bike MS 2014 OLD,0
2015,24916,INI Bike Events,Bike MS: Cruisin' the Crossroads 2015,8/14/2014 9:45,9/12/2015 12:47,230000,336,1,5355,145237.51,95606.51,41,42,5,2,2294,10,49631,218,29828.5,119,126374.01,8405,11160,10965,4500 Dan Patch Circle,Anderson,IN,46013,INI 2015 Bike MS: Cruisin' the Crossroads,23362
2014,23362,INI Bike Events,Bike MS: Cruisin' the Crossroads 2014,10/17/2013 12:06,9/6/2014 8:23,210000,378,0,7845,180410.6,97539.7,48,50,5,2,3551,13,82870.9,155,39506,223,151876.6,10029,10795,9900,4500 Dan Patch Circle,Anderson,IN,46013,"Indiana, Anderson - Bike MS 2014",21076
2016,27716,INI Bike Events,Bike MS: Cruisin' the Crossroads 2016,11/11/2015 11:01,9/10/2016 17:39,195000,296,1,3738.84,120995.17,74182.31,34,36,5,5,1522,22,46812.86,143,28492,154,98153.17,3440,6081.55,5650,4500 Dan Patch Circle,Anderson,IN,46013,INI 2016 Bike MS: Cruisin' the Crossroads,24916
2017,28267,INI Bike Events,Bike MS: Cruisin' the Crossroads 2017,8/30/2016 11:18,9/9/2017 14:58,172000,291,0,3372,129379.26,61469,29,24,6,5,1597,26,67910.26,138,27231,153,108758.26,2513,4070,3920,1300 100 S.,Lebanon,IN,46052,INI 2017 Bike MS: Cruisin' the Crossroads,27716
2016,27197,INI Bike Events,practice,10/15/2015 10:30,9/10/2016 10:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,practice,0
2013,20356,INI Bike Events,INI Bike MS 2013,10/2/2012 11:17,9/7/2013 10:24,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825 West 116th Street,Carmel,IN,46032,INI Bike MS 2013,0
2013,21076,INI Bike Events,2013 Bike MS: Cruisin' the Crossroads,11/26/2012 10:22,9/7/2013 15:52,280000,450,0,9390,207676.4,119131,50,51,5,3,3213,14,88545.4,168,34867,282,175785.8,8221.4,3295,1975,3525 West 126th Street,Carmel,IN,46032,"Indiana, Carmel - Bike MS 2013",0
2014,21902,INI Bike Events,INI Bike MS 2014,4/10/2013 12:15,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,INI Bike MS 2014,0
2014,22756,KSG Bike Events,Bike MS: Wichita Ride 2014,9/3/2013 10:07,9/6/2014 8:15,124236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300 S. Iuka,Pratt,KS,67124,"OLD Wichita, Kansas  Bike MS 2014",20080
2016,27078,KSG Bike Events,Bike MS: Wichita Ride 2016,9/23/2015 15:58,9/10/2016 11:37,50000,124,0,3245,62035.51,40034.51,12,12,7,2,1033,4,22001,69,14841.51,55,50106,175,2790,2912,,Wichita,KS,67042,KSG 2016 Bike MS: Wichita Ride,25040
2017,28811,KSG Bike Events,Bike MS: Kansas City Ride 2017,9/22/2016 23:53,9/16/2017 9:43,1280000,1482,19,42963,1020161.91,581692.9,93,99,12,22,21857,168,438469.01,737,194875.92,764,916701.52,8768,72484.42,79893.42,,Olathe,KS,66044,KSG 2017 Bike MS: Kansas City,27065
2015,25040,KSG Bike Events,Bike MS: Wichita Ride 2015,9/4/2014 15:45,6/20/2015 16:49,44750,110,1,1800,57853.7,35132.1,10,10,8,2,1878,3,22721.6,57,7672.1,54,50621.6,230,566.95,320,440 E Wildcat Way,El Dorado,KS,67042,KSG 2015 Bike MS: Wichita Ride,22786
2017,28278,KSG Bike Events,Bike MS: Flint Hills Ride 2017,9/8/2016 7:00,9/9/2017 10:11,50000,129,1,4018,60311,32944,16,16,5,0,717,0,27367,74,10916.67,56,52101,2050,1516.67,2091.67,1012 E Belmont Ave,Augusta,KS,67010,KSG 2017 Bike MS: Wichita,27078
2016,27079,KSG Bike Events,Bike MS: Nebraska Ride 2016,9/23/2015 16:41,9/24/2016 16:43,100000,165,2,5340,69904.5,46690.5,22,22,6,5,2978,15,23214,96,23426,71,53913.5,2035,6483,7435,1000 Galvin Road South,Bellevue,NE,68005,KSG 2016 Bike MS: Nebraska Ride,25039
2017,28280,KSG Bike Events,Bike MS: Ozarks Ride 2017,9/8/2016 7:15,9/9/2017 15:48,290000,566,5,13724,224117.97,96887,38,40,9,0,3969,0,127230.97,195,34943.53,376,215410.44,4784.1,1714,15385,688 E Hines St,Republic,MO,65738,KSG 2017 Bike MS: Ozarks,27063
2015,25038,KSG Bike Events,Bike MS: Ozarks Ride 2015,9/4/2014 13:20,9/12/2015 14:49,317250,605,5,16170,274032,121346.44,41,42,10,3,6922,19,152685.56,253,49496.75,357,232460.25,815,4991,7005,688 East Hines Street,Republic,MO,65738,KSG 2015 Bike MS: Ozarks Ride,22788
