Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,42,1267.73,22670,5965,16705,20,25000,22670,2012,23553.03,58,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,City of Houston,47,4620,22661.05,20485.19,2175.86,0,25000,22661.05,,0,0,2014
TNS 2015 Bike MS: Jack and Back,25575,Corporate,Nissan,9,245,22615,15770,6845,145,20000,24667,2015,12665,7,2016
TNS 2013 Bike to Jack and Back,20496,Corporation,Community Health Systems,30,410,22565.55,12975.55,9590,125,15000,22565.55,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,33,3660,22562,21412,1150,0,0,22562,,0,0,2014
NCT 2017 Bike MS: Historic New Bern Ride,28911,Corporate,,35,1201.5,22546.5,21025.5,1521,150,20000,36337.5,2016,10430,15,2017
Ohio - Bike MS: Pedal to the Point Ride 2014,23877,Corporate,ABB,24,265,22512,10260,12252,392,10000,22512,,0,0,2014
"TXH Louisiana, Hammond - Bike MS 2014",22835,Corporate,,27,662,22496.98,22246.98,250,0,20000,22496.98,,0,0,2015
NCC 2013 Bike MS Tour to Tanglewood,21238,Corporate,Ralph Lauren,65,905,22492.46,14869.89,7622.57,125,22000,22492.46,,0,0,2013
NYN 2015 Bike MS: New York City,26036,Corporate,Morgan Stanley,32,1102.6,22455,20730,1725,975,50000,156507.43,,0,0,2016
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,26,1250.52,22438,21271,1167,0,10000,39010.88,,0,0,2016
CAS Bike MS 2012,18684,Corporation,,18,515,22437.8,13787,8650.8,0,15000,22437.8,,0,0,2013
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Hines,24,890.96,22382,16632,5750,175,30000,107558,2015,29106,22,2016
NYN 2014 Bike MS New York City,23928,Corporate,NHG Cycling Team,9,575,22330,21945,385,25,18000,22330,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Baylor College of Medicine,34,3500,22313.69,21131.69,1182,0,30000,149226.92,,0,0,2015
PAX 2015 Bike MS: Keystone Country Ride,25906,Corporate,,18,260,22303.36,16158,6145.36,45,15000,32138.35,2014,13732.95,20,2015
WAS 2016 Bike MS: Deception Pass Classic,27170,Corporate,Nintendo,37,1475,22285.16,5560.16,16725,0,0,68942.42,2015,25412.26,27,2016
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,,48,1217.5,22283,16722,5561,532,25000,22283,,0,0,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Aker Solutions,26,2660,22280.11,19539.11,2741,0,18000,22280.11,,0,0,2014
MAM 2016 Bike MS: Cape Cod Getaway,27048,Corporate,Momenta Pharmaceuticals,20,1125,22155,16555,5600,4850,20000,71564.8,2015,27217,26,2016
TNS 2015 Bike MS: Jack and Back,25575,Corporate,Community Health Systems,25,450,22145.92,15070.92,7075,800,10000,56263.92,,0,0,2016
MAM 2017 Bike MS: Cape Cod Getaway,28124,Corporate,Momenta Pharmaceuticals,28,1700,22142.8,17396.8,4746,0,20000,71564.8,2016,22155,20,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Clean Line Energy,26,2600,22134.48,19839.48,2295,100,20000,22134.48,,0,0,2013
Colorado - Bike MS 2014,22980,Corporate,,30,1681,22131.03,19161.03,2970,0,0,22131.03,,0,0,2014
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Rick Steves' Europe,9,352.5,22117.65,7080,15037.65,185,20000,22117.65,,0,0,2015
NCT 2014 Bike MS: Tour to Tanglewood,23796,Corporate,,62,1075,22059,13945,8114,0,0,22059,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,KPMG Bike Team,39,1381.56,22058,18778,3280,0,30000,22058,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Weatherford,52,4200,22038.9,20398.9,1640,200,10000,22038.9,2013,2728.92,5,2014
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,Cummins,40,890,22029.16,19539.16,2490,368,30000,22029.16,,0,0,2016
ILD 2016 Bike MS: Tour de Farms,27043,Corporate,"FV & FMV Valuation, Inc.",13,565,22028.73,21256.23,772.5,0,25000,52796.73,2015,26063,17,2016
"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",20717,Corporate,GoldenTree,6,270,22025,19175,2850,0,10000,23260,,0,0,2013
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,Intuit,28,1210,22010.2,10929.2,11081,100,20000,42542.2,2016,14475,21,2017
OHA 2017 Bike MS: Buckeye Breakaway,28892,Corporate,Parker Hannifin,23,900,21985.75,20280.75,1705,180,18000,56130.75,2016,16725,22,2017
"Texas, Houston - 2014 BP MS 150",22598,Corporate,DOF Subsea,10,1060,21943.2,13403.2,8540,0,45000,21943.2,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Aker Solutions,23,2480,21936.75,21021.75,915,0,30000,24646.75,,0,0,2015
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,,22,150,21913,16370,5543,2485,0,58131,2016,16435,20,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,SpawGlass,20,2000,21893,15998,5895,100,17000,21893,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,eni Cycling Team,12,1200,21808.8,20323,1485.8,250,25000,21808.8,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,DOF Subsea,16,1750,21802.49,10860.8,10941.69,0,20000,29325.49,,0,0,2015
Pennsylvania - bike MS: Escape to the Lake 2014,22539,Corporate,,27,825,21798,16300,5498,50,30000,21798,2013,29093,43,2014
CTN 2016 Bike MS: Norwalk,27507,Corporate,Team Gartner,41,255,21781,18120,3661,100,20000,38356,2015,11975,32,2016
TNS 2017 Bike MS: Rockin' Ride to Oxford,28943,Corporate,FedEx,24,385,21771.11,18801.19,2969.92,50,50000,76900.87,2016,22844.4,26,2017
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,,33,500,21760.8,12382,9378.8,140,33000,21760.8,2013,25238.13,33,2014
DCW 2015 Bike MS: Ride the Vine,25835,Corporate,KPMG,16,220,21751.41,19686.41,2065,0,35000,21751.41,,0,0,2015
FLS 2013 Bike MS: Breakaway to Key Largo,19654,Corporation,Advanced Roofing,18,120,21748,11243,10505,0,20000,21748,,0,0,2013
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Gap Inc.,17,487.58,21743.6,18663.6,3080,25,15000,73443.71,,0,0,2015
CAS Bike MS 2012,18684,Corporation,SchoolsFirst FCU,37,1440,21735,17360,4375,0,30000,21735,,0,0,2013
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Marsh Houston,17,1605,21699,18269,3430,0,10000,21749,,0,0,2017
"Oregon, Portland - Bike MS 2014",22739,Corporate,Lam Research,17,940,21697,14653,7044,681,20000,21697,,0,0,2014
NYN 2014 Bike MS New York City,23928,Corporate,,38,1584.32,21692,20322,1370,60,50000,21692,2014,45645.55,82,2015
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,,26,530,21689.01,11724.01,9965,25,25000,45323.99,2014,23062.34,30,2015
NCT 2015 Bike MS: Tour to Tanglewood,25838,Corporate,VF and Wrangler,19,520,21674,5755,15919,0,20000,69236.11,,0,0,2015
Pennsylvania - bike MS: Keystone Country Ride 2013,20527,Corporation,Link Computer Corporation,29,615,21661,11535,10126,180,15000,21661,2012,12948,25,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,"Praxair, Inc.",24,2420,21657.58,10425,11232.58,380,25000,44705.45,2014,25728.99,34,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,RigUp,26,2825,21630.96,21040.96,590,0,50000,23115.96,,0,0,2017
NCT 2017 Bike MS: Historic New Bern Ride,28911,Corporate,,29,1094.5,21615,18797,2818,4110,50000,67416,2016,22689,24,2017
NYN 2015 Bike MS: New York City,26036,Corporate,PwC Bike Team,72,510.88,21604.2,16514.2,5090,100,15000,74837.38,2015,13822,39,2016
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,57,555.52,21569.27,7667,13902.27,0,50000,22094.27,,0,0,2016
"California, Santa Monica - Bike MS: Coastal Challenge 2014",23843,Corporate,,44,70,21537,19472,2065,675,70000,21537,,0,0,2015
NCT 2017 Bike MS: Historic New Bern Ride,28911,Corporate,,8,225,21535,19335,2200,0,21000,64819,2016,22056,8,2017
TNS 2014 Bike MS Rock-N-Roll,22797,Corporate,,36,569.84,21495.41,17356.45,4138.96,0,0,21495.41,,0,0,2014
Massachusetts - Bike MS: Cape Cod Getaway 2013,19418,Corporation,Genzyme,28,1900,21469,16976,4493,760,20000,21469,2012,2565,4,2013
TXH 2016 Bike MS: BP MS 150,27003,Corporate,El Meson Restaurant,26,2690,21467,17030,4437,50,12000,78208.27,2015,29584,33,2016
PAX 2016 Bike MS: Escape to Lake presented by FedEx Ground,27690,Corporate,,22,500,21451.07,15961.07,5490,0,30000,39158.21,,0,0,2016
TNS 2016 Bike MS: Jack and Back,27865,Corporate,,21,650,21416,14279,7137,0,20000,65017,2016,18380,25,2017
MIG 2016 Bike MS: Great Lakes Bavarian Breakaway,27703,Corporate,Dow Bike Team,17,365,21413.74,20893.74,520,280,0,43961.26,2015,12755.02,17,2016
CAS Bike MS 2015,26037,Corporate,Deloitte Bike Team,34,100,21396,15721,5675,0,30000,50329.77,,0,0,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Protiviti,18,1800,21393.45,20055.45,1338,350,20000,21393.45,,0,0,2013
Colorado - Bike MS 2013,20901,Corporate,,31,1992,21390,4950,16440,0,5000,21390,,0,0,2013
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,67,250,21380.54,12543.54,8837,220,25000,21380.54,,0,0,2013
Massachusetts - Bike MS: Cape Cod Getaway 2013,19418,Corporation,BostonCoach,31,660,21365,9011,12354,95,8000,21365,,0,0,2013
NYN 2014 Bike MS New York City,23928,Corporate,Wells Fargo,19,930.14,21358,19868,1490,800,15000,21358,,0,0,2015
FLC 2013 Bike MS,19463,Corporation,Express Scripts,23,55,21320,6295,15025,35,20000,21320,,0,0,2013
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,"Expedia, Inc",27,1141.5,21319,13270.01,8048.99,0,25000,61736.25,2016,18880,36,2017
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Deloitte Bike Team,16,875,21310,21160,150,0,25000,77372.01,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,BASF Corporation,13,1330,21303.5,15808.5,5495,0,22000,21303.5,,0,0,2014
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Tommy Bahama,33,30,21291,14706,6585,0,10000,77604,,0,0,2015
Pennsylvania - bike MS: Escape to the Lake 2014,22539,Corporate,FedEx,62,285,21281.25,12657,8624.25,200,50000,21281.25,,0,0,2014
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,Bank of the West,19,632.28,21270,12812.5,8457.5,0,20000,21270,,0,0,2014
"Texas, Dallas - Bike MS 2014",22466,Corporate,Merit Energy Company,19,343,21267,9916,11351,0,30000,21267,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,RBC Wealth Management,39,0,21265,16290,4975,100,25000,31785,,0,0,2015
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,Nintendo,26,1531.5,21245,5315,15930,0,25000,68942.42,2016,22285.16,36,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,TransCanada,29,2900,21240.5,19605,1635.5,100,17500,21240.5,2012,28090,18,2013
MNM 2015 Bike MS: Sam's Club Twin Cities Ride,24896,Corporate,,59,300,21218.95,9848,11370.95,0,25000,40700.67,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,SBM Offshore,35,3050,21207.74,14652.74,6555,0,25000,73303.12,2016,27427.57,44,2017
"Kansas City, KS Bike MS 2014",22790,Corporate,Garmin,47,1015,21201,15526,5675,230,16000,21201,,0,0,2014
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,Salesforce Bike MS,25,1170,21171,14046,7125,80,15000,21206,,0,0,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Ernst & Young,29,2850,21153,19853,1300,0,25000,21153,2012,20314.72,35,2013
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,19,0,21141,13086,8055,0,25000,53623.02,,0,0,2016
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,POM Wonderful,19,793,21138,13428,7710,10,25000,21138,,0,0,2014
Pennsylvania - bike MS: Western PA Escape 2013,20526,Corporation,FedEx,46,315,21105,10801,10304,80,50000,21105,,0,0,2013
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,,31,761.29,21070,14425,6645,5050,25000,35585,2014,11425.28,13,2015
"Utah, Logan - Bike MS: 2014",22337,Corporate,Goldman Sachs,63,250,21053,12357,8696,0,25000,21053,,0,0,2014
COC 2015 Bike MS: Colorado,25572,Corporate,"Sunset Stone, Inc",27,1738.05,21010,17480,3530,85,20000,21010,,0,0,2015
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Turner Construction,43,450,20985,11640,9345,0,15000,33943.02,,0,0,2015
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,BNY Mellon,5,60,20950,10617,10333,0,30000,22780,,0,0,2015
NCT 2014 Bike MS: Historic New Bern Ride,23481,Corporate,Martin Marietta,43,1590,20924.9,15319.9,5605,1220,18000,20924.9,,0,0,2014
Colorado - Bike MS 2013,20901,Corporate,,9,717,20923,11529,9394,0,5000,20923,,0,0,2013
WAS 2013 Bike MS - Washington,21128,Corporate,Nintendo,63,115,20902.26,3750.13,17152.13,175,15000,20902.26,,0,0,2013
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Pfizer,26,260,20894,13174,7720,665,30000,20894,,0,0,2014
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,Spok,14,600,20886,20661,225,50,25000,20886,,0,0,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,,37,435,20870,18795,2075,0,15000,55424.25,2016,26564.25,42,2017
"Texas, Midland - bike MS: Cactus & Crude 2013, presented by Apache",21276,Corporate,APACHE CORPORATION,14,83,20866,9951,10915,100,25000,20866,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,32,3350,20840,17530,3310,150,15000,20840,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,"Quanta Services, Inc.",34,3450,20830.05,20140,690.05,0,25000,20830.05,,0,0,2014
NYN 2015 Bike MS: New York City,26036,Corporate,KPMG,36,1750.52,20829,20174,655,0,30000,69728.48,,0,0,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Maersk Oil,25,2500,20822.41,18092,2730.41,0,20000,35787.41,,0,0,2015
"Utah, Logan - Bike MS: 2014",22337,Corporate,Morgan Stanley,31,494.3,20815.8,11500.8,9315,0,25000,20815.8,,0,0,2014
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,SKF USA Inc,24,835,20810,16307.5,4502.5,200,15000,20810,,0,0,2013
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,,36,465,20809.14,17154.14,3655,95,30000,20809.14,,0,0,2015
CAN 2017 Bike MS: Waves to Wine Ride,28894,Corporate,The Clorox Company,22,1185,20802.85,17147.95,3654.9,10085,6500,42379.37,2016,14385.52,11,2017
"Louisiana, Hammond - Bike MS 2013",20274,Corporation,,11,150,20780,13960,6820,120,35000,20780,,0,0,2014
WAS 2013 Bike MS - Montana,21137,Corporate,,18,510,20760,7309,13451,0,10000,20760,,0,0,2013
ALC 2016 Bike MS: Mississippi 150,27900,Corporate,Entergy,11,110,20755,7550,13205,0,18000,62427.08,2016,19004.08,16,2017
ALC 2016 Bike MS: Mississippi 150,27900,Corporate,Entergy,11,110,20755,7550,13205,0,18000,62427.08,2016,19004.08,16,2017
FLC 2013 Bike MS,19463,Corporation,xpedx/International Paper,15,775,20735,19160,1575,100,15000,20735,,0,0,2013
"Connecticut, Westport - Bike MS Praxair Ride 2015",25948,Corporate,,32,35,20720,13610,7110,0,31441,42845,,0,0,2015
COC 2016 Bike MS: Colorado,27037,Corporate,FirstBank,27,30,20681.36,13189.21,7492.15,10,25000,60066.64,2015,20366.5,31,2016
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,"Urban Outfitters, Inc",23,1015,20631,20001,630,85,15000,20631,,0,0,2014
Colorado - Bike MS 2013,20901,Corporate,Point B Bike Team,31,1773,20604,17170,3434,0,30000,20604,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,12,1200,20602,11509,9093,0,20000,20602,,0,0,2013
"Pennsylvania, Gettysburg - Bike MS 2014",23266,Corporate,,37,914,20591.62,13898.55,6693.07,30,20000,20591.62,,0,0,2014
MNM 2017 Bike MS: Twin Cities Ride,28209,Corporate,The Toro Company,129,317.5,20591,14512,6079,0,0,20641,,0,0,2017
"Utah, Logan - Bike MS 2013 - Harmons Best Dam Bike Ride",19245,Corporation,,55,1284.16,20589,11760,8829,0,30000,20589,2012,32255,73,2013
COC 2016 Bike MS: Colorado,27037,Corporate,Liberty Oilfield Services,19,1192.85,20570,20046,524,0,0,66737,2015,18907,10,2016
COC 2017 Bike MS Colorado,28914,Corporate,,14,767,20545,19110,1435,135,20000,21165,,0,0,2017
"Wisconsin, Pewaukee - Bike MS: TOYOTA Best Dam Bike Ride 2014",22517,Corporate,"Komisar Brady & Co., LLP",9,310,20539.54,4651.54,15888,0,15000,20539.54,,0,0,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,BASF Corporation,17,1790,20523.55,20033.55,490,0,20000,71905.6,2015,29160,26,2016
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Wells Fargo,33,722.48,20520,17580,2940,15050,50000,76870.21,2015,36692.21,32,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,PATTERSON & SHERIDAN,12,1200,20505,17905,2600,0,25000,29330,2015,5175,9,2016
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,,53,1167,20491,13571,6920,0,0,20541,,0,0,2017
Ohio - Bike MS: Pedal to the Point Ride 2014,23877,Corporate,,44,895,20468.99,15332.99,5136,225,15000,20468.99,,0,0,2014
CAL 2015 Bike MS Coastal Challenge: Santa Monica to Santa Barbara,25958,Corporate,,24,850,20462.76,19352.76,1110,0,15000,31322.76,,0,0,2016
NJM 2015 Bike MS : Country Challenge,25928,Corporate,Atlantic Health System,25,775,20462,16147,4315,54,30000,61192,,0,0,2015
NJM 2017 Bike MS: Country Challenge,29036,Corporate,Atlantic Health System,24,1205,20455,18189,2266,140,20000,61192,2016,20275,31,2017
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,,10,365,20427,16614,3813,0,15000,56080,2016,17141,7,2017
"Virginia, Greenwood -  Bike MS: Tour de Vine 2013",21059,Corporate,Crutchfield,30,465.39,20405,13175,7230,180,12500,20405,,0,0,2013
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,"Expedia, Inc",35,1907.5,20397.25,13372.25,7025,1175,20000,61736.25,2014,19342,31,2015
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,LiquidHub,37,0,20391,14211,6180,40,15000,20391,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Nabors,26,2600,20371,14521,5850,0,10000,20371,,0,0,2013
COC 2015 Bike MS: Colorado,25572,Corporate,,31,0,20366.5,12462.25,7904.25,130,25000,60066.64,,0,0,2015
"Texas, Dallas - Bike MS 2014",22466,Corporate,KPMG,41,448,20356.2,18798.2,1558,0,15000,20356.2,,0,0,2014
NYN 2016 Bike MS: NYC,27764,Corporate,Ernst & Young,40,1674.84,20340,19720,620,0,30000,52724.18,2016,15498,14,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Parker Drilling,9,940,20338,11265,9073,50,16000,74976.69,2016,27204.25,11,2017
NCT 2014 Bike MS: Breakaway to the Beach,23842,Corporate,,18,55,20333,19636,697,155,20000,20333,,0,0,2015
NCT 2014 Bike MS: Breakaway to the Beach,23842,Corporate,,18,55,20333,19636,697,155,20000,20333,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Ernst & Young Bike Team,37,3435,20328,18858,1470,100,5000,20598,,0,0,2017
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,21,2100,20327,13516,6811,0,0,20327,2012,4000,7,2013
"Alabama, Orange Beach- Bike MS: Tour de Beach 2014",23557,Corporate,Iberia Bank,47,360,20325,15210,5115,120,15000,20325,2013,12095.17,26,2014
MNM 2017 Bike MS: MS 150 Ride,28105,Corporate,Thomson Reuters,26,404.5,20283,15256.5,5026.5,100,25000,20283,2016,26455,25,2017
"Utah, Logan - Bike MS: 2014",22337,Corporate,,40,1436.66,20262,13550,6712,50,30000,20262,,0,0,2014
"Louisiana, Hammond - Bike MS 2013",20274,Corporation,Peter Mayer Advertising,42,1020,20256.41,19161.41,1095,0,20000,20256.41,,0,0,2014
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,,29,545,20240,17695,2545,0,15000,20240,,0,0,2014
NCT 2015 Bike MS: Historic New Bern Ride,25674,Corporate,AtOmic Cycles Bike Shop,35,1292.24,20225.45,13273,6952.45,150,18000,44259.2,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,DNV GL,40,890,20206,17576,2630,250,18000,22726,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Atlantica Management,29,600,20120,18870,1250,0,25000,42149,2014,18738,19,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Precision Drilling,9,800,20105,18945,1160,0,0,20105,,0,0,2014
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Vantage Drilling,31,3120,20100.15,19950.15,150,0,15000,26650.15,,0,0,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,BASF Corporation,12,1105,20087.05,18207.05,1880,0,20000,71905.6,2016,20523.55,17,2017
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,,18,270,20080,18071,2009,440,0,20080,2013,18954,16,2014
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,Sanofi,28,995,20079,14564,5515,475,20000,37813.3,2015,5539.3,4,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,St. Luke's The Woodlands Hospital,34,3400,20062,13297,6765,0,20000,20062,,0,0,2013
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,DaVita,11,520.5,20035.31,18535.31,1500,200,25000,38265.31,2016,18230,14,2017
VAR 2016 Bike MS: Country Roads Ride,27784,Corporate,,39,1205,20030,13396,6634,0,20000,54345,2015,20340,31,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Grainger Industrial Supply,10,1000,20002.16,9812.16,10190,0,54000,20002.16,,0,0,2014
COC 2016 Bike MS: Colorado,27037,Corporate,AlphaGraphics Arvada/Denver/Golden,15,911.3,19978,16312,3666,100,20000,60404.8,2015,16492.8,10,2016
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Commercial Alliance Insurance Company,20,1960,19976,16536,3440,750,25000,19976,,0,0,2015
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Hyatt,42,1124.56,19971.91,17806.91,2165,120,28935,35803.9,2014,26234.99,40,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,La Michoacana Meat Market,38,3800,19970,8270,11700,145,25000,19970,2013,13702.34,23,2014
COC 2017 Bike MS Colorado,28914,Corporate,"Southwest Generation Operating Company, LLC",15,1198,19970,18870,1100,250,0,43410,2016,10360,15,2017
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,Ernst & Young,5,228,19970,14620,5350,0,14000,19970,,0,0,2017
NCT 2017 Bike MS: Tour to Tanglewood,28283,Corporate,,20,341,19931,15666,4265,205,15000,55346,2016,18214,23,2017
ILD 2017 Bike MS: Tour de Farms,28197,Corporate,Morgan Stanley,31,90,19898,17988,1910,0,15000,47002,2016,14552,28,2017
NCT 2017 Bike MS: Historic New Bern Ride,28911,Corporate,,39,1376.5,19895.9,15308,4587.9,0,15000,55197.54,2016,18025.74,37,2017
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Red Hat,8,280.5,19889,16994,2895,5000,25000,35964,,0,0,2015
WAS 2014 Bike MS - Washington,23318,Corporate,Milgard Windows & Doors,37,1350,19873.1,14505.1,5368,85,10000,19873.1,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Johnson & Johnson,40,1330,19872,9662,10210,550,30000,60656.77,2014,35906.13,46,2015
PAX 2017 Bike MS: Escape to the Lake,28311,Corporate,PJ Dick / Trumbull / Lindy Paving,21,620,19835,6385,13450,125,20000,64932,2016,19495,17,2017
TNS 2013 Bike Rock-N-Roll,20156,Corporation,,30,610,19816,8030,11786,1000,25000,19816,,0,0,2013
MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,25028,Corporate,Boeing,17,105,19783,11210,8573,0,0,58131,,0,0,2015
CAS Bike MS 2013 - San Diego,21507,Corporate,JANUS et Cie,17,829.95,19778.02,15943.02,3835,240,25000,19778.02,,0,0,2014
TNS 2015 Bike MS: Jack and Back,25575,Corporate,,26,620,19741,16631,3110,0,35000,54814.9,2015,30875.75,40,2016
MAM 2016 Bike MS: Great Maine Getaway,27051,Corporate,Starr Companies,15,605,19715.57,17865.57,1850,50,12500,39856.9,2015,10910,12,2016
TNS 2012 Bike Jack and Back,18277,Corporation,Community Health Systems,30,390,19715,11075,8640,0,25000,19715,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Maersk Oil Houston,24,2430,19713.09,16206,3507.09,0,20000,19713.09,,0,0,2014
NYN 2015 Bike MS: New York City,26036,Corporate,,11,680,19711,19711,0,0,17000,34649,,0,0,2016
COC 2017 Bike MS Colorado,28914,Corporate,Charles Schwab,21,1210,19710,8965,10745,0,15000,59909,2016,25745,30,2017
FLS 2015 Bike MS: Breakaway to Key Largo,24696,Corporate,DHL,36,160,19707,19036,671,0,15000,19707,,0,0,2015
COC 2017 Bike MS Colorado,28914,Corporate,Fransen Pittman General Contractors,32,1929,19704.19,18556.69,1147.5,250,10000,31304.99,2016,7270.8,12,2017
PAC bike MS Mason-Dixon Challenge 2013,19476,Corporation,,35,563.5,19689,11250,8439,0,20000,19689,,0,0,2013
KSG 2015 Bike MS: Ozarks Ride,25038,Corporate,,53,1765,19688,12201,7487,200,15000,80922.48,,0,0,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Lloyd's Register,28,2920,19654.14,18799.14,855,0,20000,19654.14,,0,0,2014
